satellite,lat,lon,dsm_tile,valid_ratio,elev_min,elev_max,elev_mean,fully_valid,partial,empty
sat_51.509845_-0.128034.png,51.509845,-0.128034,TQ38sw_FZ_DSM_1m.tif,0.595313,15.846,42.165,24.331,False,True,False
sat_51.509845_-0.128892.png,51.509845,-0.128892,TQ28se_FZ_DSM_1m.tif,1.0,16.384,47.406,26.835,True,False,False
sat_51.509845_-0.129750.png,51.509845,-0.129750,TQ28se_FZ_DSM_1m.tif,1.0,16.077,52.481,28.962,True,False,False
sat_51.509845_-0.130608.png,51.509845,-0.130608,TQ28se_FZ_DSM_1m.tif,1.0,15.426,54.735,36.863,True,False,False
sat_51.509845_-0.131467.png,51.509845,-0.131467,TQ28se_FZ_DSM_1m.tif,1.0,16.709,53.798,27.272,True,False,False
sat_51.510379_-0.121167.png,51.510379,-0.121167,TQ38sw_FZ_DSM_1m.tif,1.0,7.677,51.156,26.262,True,False,False
sat_51.510379_-0.122025.png,51.510379,-0.122025,TQ38sw_FZ_DSM_1m.tif,1.0,13.759,45.750,22.861,True,False,False
sat_51.510379_-0.127175.png,51.510379,-0.127175,TQ38sw_FZ_DSM_1m.tif,1.0,14.918,45.347,29.728,True,False,False
sat_51.510379_-0.128034.png,51.510379,-0.128034,TQ38sw_FZ_DSM_1m.tif,0.56875,14.399,45.297,29.835,False,True,False
sat_51.510913_-0.127175.png,51.510913,-0.127175,TQ38sw_FZ_DSM_1m.tif,1.0,17.924,43.739,29.213,True,False,False
