grid,file,latitude,longitude
sparse_127,sat_51.507708_-0.128892.png,51.507708,-0.128892
sparse_127,sat_51.507708_-0.129750.png,51.507708,-0.12975
sparse_127,sat_51.507708_-0.130608.png,51.507708,-0.130608
sparse_127,sat_51.507708_-0.131467.png,51.507708,-0.131467
sparse_127,sat_51.508242_-0.123742.png,51.508242,-0.123742
sparse_127,sat_51.508242_-0.124600.png,51.508242,-0.1246
sparse_127,sat_51.508242_-0.125459.png,51.508242,-0.125459
sparse_127,sat_51.508242_-0.126317.png,51.508242,-0.126317
sparse_127,sat_51.508242_-0.127175.png,51.508242,-0.127175
sparse_127,sat_51.508242_-0.128034.png,51.508242,-0.128034
sparse_127,sat_51.508242_-0.128892.png,51.508242,-0.128892
sparse_127,sat_51.508242_-0.129750.png,51.508242,-0.12975
sparse_127,sat_51.508242_-0.130608.png,51.508242,-0.130608
sparse_127,sat_51.508242_-0.131467.png,51.508242,-0.131467
sparse_127,sat_51.508242_-0.132325.png,51.508242,-0.132325
sparse_127,sat_51.508776_-0.123742.png,51.508776,-0.123742
sparse_127,sat_51.508776_-0.124600.png,51.508776,-0.1246
sparse_127,sat_51.508776_-0.125459.png,51.508776,-0.125459
sparse_127,sat_51.508776_-0.126317.png,51.508776,-0.126317
sparse_127,sat_51.508776_-0.127175.png,51.508776,-0.127175
sparse_127,sat_51.508776_-0.128034.png,51.508776,-0.128034
sparse_127,sat_51.508776_-0.128892.png,51.508776,-0.128892
sparse_127,sat_51.508776_-0.129750.png,51.508776,-0.12975
sparse_127,sat_51.508776_-0.130608.png,51.508776,-0.130608
sparse_127,sat_51.508776_-0.131467.png,51.508776,-0.131467
sparse_127,sat_51.508776_-0.132325.png,51.508776,-0.132325
sparse_127,sat_51.509311_-0.123742.png,51.509311,-0.123742
sparse_127,sat_51.509311_-0.124600.png,51.509311,-0.1246
sparse_127,sat_51.509311_-0.125459.png,51.509311,-0.125459
sparse_127,sat_51.509311_-0.126317.png,51.509311,-0.126317
sparse_127,sat_51.509311_-0.127175.png,51.509311,-0.127175
sparse_127,sat_51.509311_-0.128034.png,51.509311,-0.128034
sparse_127,sat_51.509311_-0.128892.png,51.509311,-0.128892
sparse_127,sat_51.509311_-0.129750.png,51.509311,-0.12975
sparse_127,sat_51.509311_-0.130608.png,51.509311,-0.130608
sparse_127,sat_51.509311_-0.131467.png,51.509311,-0.131467
sparse_127,sat_51.509311_-0.132325.png,51.509311,-0.132325
sparse_127,sat_51.509845_-0.122884.png,51.509845,-0.122884
sparse_127,sat_51.509845_-0.123742.png,51.509845,-0.123742
sparse_127,sat_51.509845_-0.124600.png,51.509845,-0.1246
sparse_127,sat_51.509845_-0.125459.png,51.509845,-0.125459
sparse_127,sat_51.509845_-0.126317.png,51.509845,-0.126317
sparse_127,sat_51.509845_-0.127175.png,51.509845,-0.127175
sparse_127,sat_51.509845_-0.128034.png,51.509845,-0.128034
sparse_127,sat_51.509845_-0.128892.png,51.509845,-0.128892
sparse_127,sat_51.509845_-0.129750.png,51.509845,-0.12975
sparse_127,sat_51.509845_-0.130608.png,51.509845,-0.130608
sparse_127,sat_51.509845_-0.131467.png,51.509845,-0.131467
sparse_127,sat_51.510379_-0.121167.png,51.510379,-0.121167
sparse_127,sat_51.510379_-0.122025.png,51.510379,-0.122025
sparse_127,sat_51.510379_-0.127175.png,51.510379,-0.127175
sparse_127,sat_51.510379_-0.128034.png,51.510379,-0.128034
